Combination,SVM Accuracy,SVM AUC,KNN Accuracy,KNN AUC,Random Forest Accuracy,Random Forest AUC,Logistic Regression Accuracy,Logistic Regression AUC,XGB Accuracy,XGB AUC
Panic.csv_Theta_FC,0.6875,0.873015873015873,0.6875,0.7301587301587301,0.6875,0.8095238095238095,0.6875,0.7142857142857143,0.75,0.9206349206349206
Panic.csv_Theta_FCPCA,0.5625,0.5,0.5625,0.6666666666666667,0.5625,0.8015873015873016,0.5625,0.9365079365079365,0.5625,0.6746031746031746
Panic.csv_Alpha_FC,0.8125,0.90625,0.5625,0.7109375,0.5,0.7890625,0.8125,0.96875,0.75,0.859375
Panic.csv_Alpha_FCPCA,0.5,0.5,0.5,0.578125,0.5,0.453125,0.5,0.984375,0.5,0.7734375
Panic.csv_Beta_FC,0.8125,0.859375,0.5,0.6328125,0.75,0.75,0.75,0.828125,0.625,0.6875
Panic.csv_Beta_FCPCA,0.5,0.625,0.5,0.5625,0.5,0.546875,0.5,0.859375,0.5,0.5
Panic.csv_HighBeta_FC,0.6875,0.7090909090909091,0.5625,0.8545454545454546,0.6875,0.6818181818181819,0.8125,0.709090909090909,0.625,0.6272727272727273
Panic.csv_HighBeta_FCPCA,0.6875,0.5,0.6875,0.5,0.4375,0.5363636363636364,0.6875,0.9454545454545454,0.6875,0.609090909090909
Panic.csv_Gamma_FC,0.75,0.875,0.5,0.6015625,0.5625,0.6484375,0.8125,0.734375,0.6875,0.8203125
Panic.csv_Gamma_FCPCA,0.5,0.5,0.5,0.375,0.375,0.390625,0.5,0.8125,0.5,0.359375
Panic.csv_All_FC,0.8125,0.8181818181818181,0.5,0.5,0.8125,0.8909090909090909,0.8125,0.8363636363636364,0.8125,0.8727272727272727
Panic.csv_All_FCPCA,0.6875,0.5,0.6875,0.6090909090909091,0.75,0.44545454545454555,0.6875,0.7272727272727273,0.6875,0.40909090909090906
Social.csv_Delta_FC,0.8666666666666667,0.7777777777777778,1.0,1.0,0.8666666666666667,0.875,0.9333333333333333,0.75,0.8666666666666667,0.9444444444444445
Social.csv_Delta_FCPCA,0.8,0.5,0.8,0.736111111111111,0.8,0.4305555555555555,0.8,0.9722222222222222,0.8,0.6111111111111112
Social.csv_Theta_FC,0.8666666666666667,0.9444444444444444,0.8666666666666667,0.8796296296296297,0.8,0.8703703703703703,1.0,1.0,0.8,0.9074074074074074
Social.csv_Theta_FCPCA,0.6,0.5,0.6,0.5277777777777778,0.6,0.4444444444444444,0.6,0.9629629629629629,0.6,0.4166666666666667
Social.csv_Alpha_FC,0.6666666666666666,0.8,0.6,0.78,0.7333333333333333,0.8200000000000001,0.6666666666666666,0.68,0.8666666666666667,0.8600000000000001
Social.csv_Alpha_FCPCA,0.6666666666666666,0.5,0.6666666666666666,0.45000000000000007,0.6666666666666666,0.65,0.6666666666666666,0.86,0.6666666666666666,0.5499999999999999
